time_s,sbs_id,x,y
0.000,0,228.423000,251.781260
0.000,1,238.631666,55.931658
0.000,2,245.830754,164.037563
0.000,3,34.415232,150.606074
0.000,4,123.390052,181.010583
0.000,5,58.027437,264.730272
0.000,6,36.309398,48.870462
0.000,7,145.448852,66.412081
10.000,0,232.526980,254.138314
10.000,1,238.629544,55.795341
10.000,2,250.097069,164.426366
10.000,3,38.798367,153.011925
10.000,4,128.238755,182.231271
10.000,5,60.770549,265.098697
10.000,6,35.913193,53.854739
10.000,7,145.890244,66.278167
20.000,0,227.691474,252.866357
20.000,1,239.916423,51.481884
20.000,2,252.996626,168.499764
20.000,3,43.705703,152.053770
20.000,4,124.342485,179.097730
20.000,5,58.978837,260.430746
20.000,6,35.195951,58.803028
20.000,7,142.273275,62.825989
30.000,0,223.723434,249.824210
30.000,1,240.133106,56.477187
30.000,2,253.706893,173.449059
30.000,3,48.020387,149.527212
30.000,4,122.431108,183.717972
30.000,5,54.173886,259.047835
30.000,6,34.387932,53.868750
30.000,7,147.263689,63.135441
40.000,0,228.578487,251.019392
40.000,1,236.307474,59.696587
40.000,2,251.720487,168.860574
40.000,3,44.378205,152.952779
40.000,4,127.397163,183.136340
40.000,5,57.542662,262.742608
40.000,6,31.021264,50.172056
40.000,7,142.654977,61.196428
50.000,0,231.186003,246.753145
50.000,1,237.229216,64.610892
50.000,2,246.871535,167.640877
50.000,3,45.158603,157.891501
50.000,4,132.378835,183.564055
50.000,5,59.062673,266.393888
50.000,6,30.540515,45.393386
50.000,7,146.422961,57.909742
60.000,0,226.207338,247.214556
60.000,1,242.163308,65.420052
60.000,2,249.982408,171.555269
60.000,3,50.158567,157.872412
60.000,4,134.855848,179.220738
60.000,5,62.047572,262.382607
60.000,6,32.810971,49.323483
60.000,7,144.212062,53.425110
70.000,0,221.344379,246.051961
70.000,1,241.137097,60.526496
70.000,2,254.562860,173.560127
70.000,3,53.796743,161.302233
70.000,4,138.207897,175.510782
70.000,5,61.218355,266.323749
70.000,6,32.401368,54.306677
70.000,7,139.317041,52.405909
80.000,0,216.381766,246.662265
80.000,1,236.263205,59.410623
80.000,2,256.325989,168.881304
80.000,3,51.938989,158.070723
80.000,4,141.255691,171.547078
80.000,5,63.720525,262.839232
80.000,6,37.217051,52.961615
80.000,7,141.980598,56.637394
90.000,0,219.941421,243.151019
90.000,1,236.085894,64.407479
90.000,2,252.150557,166.130711
90.000,3,47.218298,156.422975
90.000,4,136.390016,172.698254
90.000,5,59.261767,260.576605
90.000,6,36.204450,57.858005
90.000,7,140.133763,51.990976
100.000,0,222.176324,246.887702
100.000,1,233.170971,68.469895
100.000,2,255.969072,169.358549
100.000,3,42.261121,155.769989
100.000,4,133.320545,168.751313
100.000,5,60.758083,265.265466
100.000,6,33.087130,53.948744
100.000,7,136.924510,48.156827
110.000,0,226.603680,249.211173
110.000,1,234.711959,63.713283
110.000,2,251.992705,166.327293
110.000,3,45.076264,154.194066
110.000,4,135.595181,173.203956
110.000,5,59.487401,265.911488
110.000,6,29.847629,50.140118
110.000,7,137.259846,53.145570
120.000,0,229.407699,245.071430
120.000,1,235.648139,58.801708
120.000,2,250.388820,161.591520
120.000,3,44.239382,149.264601
120.000,4,135.756758,178.201344
120.000,5,58.143344,261.095524
120.000,6,27.651702,47.015700
120.000,7,135.255402,56.775929
130.000,0,233.513177,242.483499
130.000,1,236.855351,53.949632
130.000,2,247.733503,157.354860
130.000,3,41.227025,145.273898
130.000,4,132.157481,179.871732
130.000,5,57.374973,258.211043
130.000,6,27.658252,46.535240
130.000,7,133.784296,55.080743
140.000,0,228.554644,243.126108
140.000,1,236.565394,58.941218
140.000,2,249.289183,162.106687
140.000,3,43.384611,149.784422
140.000,4,133.984731,175.217577
140.000,5,57.258942,263.209697
140.000,6,27.892963,51.529728
140.000,7,131.221070,50.787740
150.000,0,230.508076,247.728728
150.000,1,233.432956,62.711997
150.000,2,249.786524,165.082961
150.000,3,42.647618,144.894349
150.000,4,138.957772,175.736095
150.000,5,57.558882,259.990484
150.000,6,27.527980,46.929695
150.000,7,131.637461,52.314010
160.000,0,233.263175,243.556267
160.000,1,237.653454,65.392929
160.000,2,245.261202,162.956589
160.000,3,46.955449,147.432575
160.000,4,140.906375,180.340761
160.000,5,57.307312,261.637648
160.000,6,29.894094,48.455496
160.000,7,133.077542,47.525883
170.000,0,233.822838,248.524846
170.000,1,232.861647,63.965139
170.000,2,248.773105,166.515597
170.000,3,42.271156,145.684032
170.000,4,140.020454,175.419872
170.000,5,52.542475,260.122283
170.000,6,34.892151,48.316124
170.000,7,132.438372,52.484861
180.000,0,233.243213,253.491136
180.000,1,234.509208,68.685896
180.000,2,251.890844,170.424523
180.000,3,37.277983,145.422843
180.000,4,141.378904,171.648420
180.000,5,57.535434,259.857026
180.000,6,30.015141,47.213958
180.000,7,135.014209,50.280680
190.000,0,234.394018,248.625373
190.000,1,236.385814,73.320370
190.000,2,248.013582,167.267492
190.000,3,37.549099,144.303989
190.000,4,138.076016,175.402210
190.000,5,57.343010,260.285703
190.000,6,25.447711,49.248309
190.000,7,139.317242,52.827032
200.000,0,235.967837,243.879523
200.000,1,239.471343,77.254771
200.000,2,243.704501,169.803596
200.000,3,42.421795,145.425078
200.000,4,141.981580,172.280260
200.000,5,52.353478,259.962327
200.000,6,27.950341,46.054066
200.000,7,136.429652,49.884772
210.000,0,236.946048,238.976146
210.000,1,241.277508,81.917149
210.000,2,239.684938,166.829859
210.000,3,37.626449,144.009220
210.000,4,138.891424,168.349493
210.000,5,57.204623,258.751379
210.000,6,23.968942,49.078709
210.000,7,141.032569,47.932042
220.000,0,235.888577,243.863042
220.000,1,239.845298,77.126661
220.000,2,244.598262,167.756815
220.000,3,42.493081,142.862096
220.000,4,142.308399,171.999737
220.000,5,57.025160,259.069725
220.000,6,27.004385,45.105539
220.000,7,136.441551,49.912585
230.000,0,237.150236,239.024838
230.000,1,240.778652,82.038773
230.000,2,239.703812,168.778755
230.000,3,38.678694,139.629379
230.000,4,144.632342,167.572629
230.000,5,57.066279,264.069556
230.000,6,29.130216,41.687052
230.000,7,137.406236,48.543889
240.000,0,236.158322,243.925461
240.000,1,239.160813,77.307749
240.000,2,244.677723,169.288863
240.000,3,43.568917,140.671360
240.000,4,146.307637,172.283615
240.000,5,58.828686,259.390462
240.000,6,29.321995,43.423832
240.000,7,136.003126,48.628308
250.000,0,234.754519,248.724351
250.000,1,235.195050,74.262634
250.000,2,249.633665,169.951161
250.000,3,41.112460,136.316383
250.000,4,142.786961,168.733285
250.000,5,54.570920,256.769121
250.000,6,31.004087,48.132396
250.000,7,131.100916,47.644266
260.000,0,232.453124,253.163222
260.000,1,233.790887,69.463850
260.000,2,254.587779,170.627000
260.000,3,40.716736,141.300699
260.000,4,142.525592,173.726449
260.000,5,57.048958,259.124806
260.000,6,29.535040,43.353076
260.000,7,132.029302,52.557320
270.000,0,235.555563,249.242142
270.000,1,234.989423,64.609624
270.000,2,254.578186,165.627009
270.000,3,44.502478,144.566914
270.000,4,139.001203,170.179805
270.000,5,56.074019,254.220778
270.000,6,29.360308,48.350022
270.000,7,130.977999,47.669093
280.000,0,231.937936,252.693631
280.000,1,236.419769,69.400669
280.000,2,255.452546,170.549965
280.000,3,39.879437,142.662316
280.000,4,141.622373,167.720767
280.000,5,60.392592,256.740683
280.000,6,29.570508,43.354442
280.000,7,135.918320,48.439304
290.000,0,230.635332,255.369497
290.000,1,237.540362,70.236411
290.000,2,254.931654,171.335110
290.000,3,36.046565,139.451538
290.000,4,138.200655,167.353606
290.000,5,61.075089,255.914371
290.000,6,30.760650,40.718051
290.000,7,138.022441,48.349243
300.000,0,232.658773,258.510086
300.000,1,237.206200,70.039916
300.000,2,252.050898,173.220448
300.000,3,40.466395,141.789295
300.000,4,143.025316,168.666103
300.000,5,61.487540,257.480278
300.000,6,30.559154,42.665120
300.000,7,137.948341,48.762429
